RAZON SOCIAL,DIRECCION OPERATIVA,DISTRITO,DEPARTAMENTO,lat,lng
Repsol,Avenida César Vallejo,Trujillo,LA LIBERTAD,-8.094,-79.003937
Petro Peru,Avenida César Vallejo,Trujillo,LA LIBERTAD,-8.094554,-79.004296
Pecsa,Avenida César Vallejo,Trujillo,LA LIBERTAD,-8.095706,-79.004855
Petro América,Avenida César Vallejo,Trujillo,LA LIBERTAD,-8.096142,-79.005856
Estrella De David,Avenida César Vallejo,Trujillo,LA LIBERTAD,-8.094087,-79.0045
Sin nombre,Las Poncianas,Trujillo,LA LIBERTAD,-8.092404,-79.001606
Gasperol,Avenida America Oeste,Sin distrito,LA LIBERTAD,-8.096077,-79.040827
Pecsa,Avenida America Oeste,Sin distrito,LA LIBERTAD,-8.095515,-79.040842
Primax,Avenida Prolongación Unión,Trujillo,LA LIBERTAD,-8.094069,-79.008726
PETROPERU,Prolongacion Union,Trujillo,LA LIBERTAD,-8.092625,-79.007838
Gas Petrol,Avenida Prolongación Unión,Trujillo,LA LIBERTAD,-8.088424,-79.005128
Pecsa,Prolongación Avenida Santa,Sin distrito,LA LIBERTAD,-8.09375,-79.014639
Repsol,Prolongación Avenida Perú,Sin distrito,LA LIBERTAD,-8.097171,-79.011504
Primax,Sin dirección,Sin distrito,LA LIBERTAD,-7.164454,-78.466183
Sol de Villa,Sin dirección,Sin distrito,LA LIBERTAD,-7.165345,-78.474141
Siguenza,Sin dirección,Sin distrito,LA LIBERTAD,-7.1647,-78.47512
Grifo Repsol,Panamericana Norte,Sin distrito,LA LIBERTAD,-8.138978,-79.015452
Grifo Centinela,Sin dirección,Sin distrito,LA LIBERTAD,-7.169758,-78.457759
Petroperu,Panamericana Norte,Sin distrito,LA LIBERTAD,-8.173828,-78.998059
Sin nombre,Sin dirección,Sin distrito,LA LIBERTAD,-8.085994,-79.043723
Sin nombre,Panamericana Norte,Chao,LA LIBERTAD,-8.542836,-78.675556
Sin nombre,Sin dirección,Sin distrito,LA LIBERTAD,-8.150214,-79.012039
GasPetrol,Panamericana Norte,Sin distrito,LA LIBERTAD,-8.131252,-79.020488
Estación Ettersa,Panamericana Norte,Sin distrito,LA LIBERTAD,-8.166499,-79.008183
Grifo La Esperanza,Panamericana Norte,Sin distrito,LA LIBERTAD,-7.333196,-79.48657
Primax,Panamericana Norte,Sin distrito,LA LIBERTAD,-7.339355,-79.503062
Primax - Primax,Panamericana Norte,Sin distrito,LA LIBERTAD,-7.414868,-79.550254
Pecsa - Pecsa,Panamericana Norte,Sin distrito,LA LIBERTAD,-7.417039,-79.513616
Petroperú - PetroPeru,Panamericana Norte,Sin distrito,LA LIBERTAD,-7.435708,-79.5025
Petroperú - PetroPeru Paijan,Panamericana Norte,Sin distrito,LA LIBERTAD,-7.733453,-79.301203
Grifo Pecsa,Panamericana norte,Sin distrito,LA LIBERTAD,-8.085818,-79.09555
Pecsa,Avenida Ramón Castilla,Sin distrito,LA LIBERTAD,-8.089552,-79.090908
Petro America,Panamericana Norte,Sin distrito,LA LIBERTAD,-8.410271,-78.809262
Pecsa,Panamericana Norte,Sin distrito,LA LIBERTAD,-8.547767,-78.674427
Coresa Grifos,Avenida Federico Villarreal,Sin distrito,LA LIBERTAD,-8.099459,-79.005446
Primax,Carretera Panamericana Norte,Sin distrito,LA LIBERTAD,-7.305424,-79.479681
Grifo Servitrasa Pacasmayo,Panamericana Norte,Sin distrito,LA LIBERTAD,-7.415225,-79.548426
Petro América,Avenida José Gabriel Condorcanqui,Sin distrito,LA LIBERTAD,-8.081577,-79.045705
Los Pinos,Avenida Tahuantinsuyo,Sin distrito,LA LIBERTAD,-8.083381,-79.043067
Petroperu,Avenida José Gabriel Condorcanqui,Sin distrito,LA LIBERTAD,-8.087977,-79.041651
Repsol,Avenida Túpac Amaru,Sin distrito,LA LIBERTAD,-8.088527,-79.039625
Gasocentro Semar,Avenida Túpac Amaru,Sin distrito,LA LIBERTAD,-8.088904,-79.039032
Sin nombre,Avenida Túpac Amaru,Sin distrito,LA LIBERTAD,-8.089928,-79.037979
Grifo San Jorge,Avenida Túpac Amaru,Sin distrito,LA LIBERTAD,-8.090386,-79.036765
Primax,Sin dirección,Sin distrito,LA LIBERTAD,-8.085024,-79.096273
Sin nombre,Avenida Federico Villarreal Sur,Sin distrito,LA LIBERTAD,-8.097122,-79.009658
Primax - Primax,Sin dirección,Sin distrito,LA LIBERTAD,-8.009624,-78.751417
Pesqueda,Sin dirección,Sin distrito,LA LIBERTAD,-8.096706,-79.002224
Estrella de David,America Oeste,Sin distrito,LA LIBERTAD,-8.109548,-79.047771
Repsol,Avenida Los Colibries,Sin distrito,LA LIBERTAD,-8.124013,-79.044646
Grifo Larco - Petro Peru,Avenida Victor Larco Herrera,Sin distrito,LA LIBERTAD,-8.116337,-79.031436
Pecsa,Avenida America Sur,Sin distrito,LA LIBERTAD,-8.120947,-79.020768
Primax,Avenida Túpac Amaru,Sin distrito,LA LIBERTAD,-8.097577,-79.029977
Primax,Avenida Pablo Casals,Sin distrito,LA LIBERTAD,-8.095088,-79.03871
SJR S.A.C.,Avenida America Sur,Sin distrito,LA LIBERTAD,-8.118882,-79.018095
PRIMAX - Primax,Avenida 28 de Julio,Sin distrito,LA LIBERTAD,-8.116719,-79.029335
Repsol - Primax,Avenida Victor Larco Herrera,Sin distrito,LA LIBERTAD,-8.133928,-79.046554
Inversion,Avenida América Norte;Avenida Del Ejercito,Sin distrito,LA LIBERTAD,-8.096454,-79.018006
PetroPerú,Avenida America Sur,Sin distrito,LA LIBERTAD,-8.099781,-79.01326
Sin nombre,Panamericana Norte,Sin distrito,LA LIBERTAD,-8.427005,-78.779876
Sin nombre,Panamericana Norte,Sin distrito,LA LIBERTAD,-8.420239,-78.784819
Petroperu - Petroperu,Panamericana Norte,Sin distrito,LA LIBERTAD,-8.412313,-78.799008
Pecsa,Sin dirección,Sin distrito,LA LIBERTAD,-8.131372,-79.021331
Primax,Panamericana Norte,Sin distrito,LA LIBERTAD,-8.137674,-79.015588
Primax,Panamericana Norte,Sin distrito,LA LIBERTAD,-8.147108,-79.011724
Petro Peru,Avenida César Vallejo,Sin distrito,LA LIBERTAD,-8.102957,-79.011656
America Gas,Avenida César Vallejo,Sin distrito,LA LIBERTAD,-8.103283,-79.011407
Petroperu,Avenida Federico Villarreal Sur,Sin distrito,LA LIBERTAD,-8.101212,-79.003989
Primax,Avenida Federico Villarreal,Sin distrito,LA LIBERTAD,-8.099068,-79.006225
C GHL,Avenida César Vallejo,Trujillo,LA LIBERTAD,-8.093695,-79.00381
Petro América,Calle M. Ubalde,Trujillo,LA LIBERTAD,-8.086983,-79.004562
Primax - Primax,Sin dirección,Sin distrito,ANCASH,-9.045137,-77.816731
Grifo Pecsa,Sin dirección,Sin distrito,ANCASH,-9.813885,-77.423766
Repsol,Sin dirección,Sin distrito,ANCASH,-9.716282,-77.460785
Pecsa,Sin dirección,Sin distrito,ANCASH,-9.439941,-77.549035
Repsol,Sin dirección,Sin distrito,ANCASH,-10.565324,-77.758981
Pecsa,Sin dirección,Sin distrito,ANCASH,-10.282299,-77.587755
Grifo Pam Pam,Sin dirección,Sin distrito,ANCASH,-10.144433,-77.502023
Grifo Petroperu,Sin dirección,Sin distrito,ANCASH,-10.157125,-77.46196
Grifo Primax,Sin dirección,Sin distrito,ANCASH,-9.517584,-77.155445
Sin nombre,Sin dirección,Sin distrito,ANCASH,-9.344605,-77.168711
Grifo Ava,Sin dirección,Sin distrito,ANCASH,-9.269648,-77.658454
Grifo El Progreso - Visa,Sin dirección,Sin distrito,ANCASH,-9.277451,-77.650816
El Carmen,Sin dirección,Sin distrito,ANCASH,-9.054902,-78.575535
Sin nombre,Sin dirección,Sin distrito,ANCASH,-9.1202,-78.540284
terpel,Sin dirección,Sin distrito,ANCASH,-9.12062,-78.539574
Primax - Primax,Sin dirección,Sin distrito,ANCASH,-9.147924,-78.509496
Primax - Primax E.S. Marelvi,Sin dirección,Sin distrito,ANCASH,-9.152327,-77.742392
Grifo Petroperu,Sin dirección,Sin distrito,ANCASH,-9.186432,-77.715777
Grifo Petroperu - Visa,Sin dirección,Sin distrito,ANCASH,-9.290838,-77.635764
Grifo Señor De Pomallucay,Zona Acopampa,Acopampa,ANCASH,-9.295945,-77.628603
Pecsa,Sin dirección,Sin distrito,ANCASH,-9.301139,-77.621871
Primax - Co,Sin dirección,Sin distrito,ANCASH,-9.384271,-77.58699
Repsol - Repsol - Visa,Sin dirección,Sin distrito,ANCASH,-9.398801,-77.576016
Primax - Grifo Primax,Sin dirección,Sin distrito,ANCASH,-9.427675,-78.362842
Grifo Monterrey,Sin dirección,Sin distrito,ANCASH,-9.474185,-77.537427
Valex - Grifo Valex,Longitudinal de la Sierra Norte,Sin distrito,ANCASH,-9.496946,-77.535601
PECSA - Grifo Pecsa,Sin dirección,Sin distrito,ANCASH,-9.506448,-77.532541
Petroperu - Petroperu,Sin dirección,Sin distrito,ANCASH,-9.509427,-77.532165
Primax - Grifo Primax,Sin dirección,Sin distrito,ANCASH,-9.533589,-77.532151
Gasolinera Shasho,Sin dirección,Sin distrito,ANCASH,-9.536012,-77.553979
Sin nombre,Sin dirección,Sin distrito,ANCASH,-9.08834,-78.574157
Primax,Sin dirección,Sin distrito,ANCASH,-9.096347,-78.565698
Primax - Primax,Sin dirección,Sin distrito,ANCASH,-9.103984,-78.558735
Gesa,Sin dirección,Sin distrito,ANCASH,-9.108983,-78.553262
Repsol - Grifo Repsol,Sin dirección,Sin distrito,ANCASH,-9.110041,-77.767558
Osorio,Sin dirección,Sin distrito,ANCASH,-9.047585,-77.815183
Repsol - Visa,Sin dirección,Sin distrito,ANCASH,-9.050038,-77.815262
Sin nombre,Sin dirección,Sin distrito,ANCASH,-8.59342,-77.652893
Grifo Pecsa,Sin dirección,Sin distrito,ANCASH,-8.554806,-77.627453
Primax,Sin dirección,Sin distrito,ANCASH,-10.743667,-77.766887
Primax,Sin dirección,Sin distrito,ANCASH,-10.562999,-77.759181
Primax,Sin dirección,Sin distrito,ANCASH,-10.74436,-77.754367
PetroAmerica,Sin dirección,Sin distrito,ANCASH,-10.743213,-77.749215
Primax,Sin dirección,Sin distrito,ANCASH,-9.808547,-77.427488
EE.SS William,Sin dirección,Sin distrito,ANCASH,-9.796356,-77.436154
Gasolinera Corpipsa,Sin dirección,Sin distrito,ANCASH,-9.613455,-77.507972
Primax,Sin dirección,Sin distrito,ANCASH,-9.56108,-77.538908
Pecsa,Sin dirección,Sin distrito,ANCASH,-9.535804,-77.53185
San Miguel,Sin dirección,Sin distrito,ANCASH,-9.79789,-77.436068
EESS SAN NICOLAS,Carretera Huaraz Pativilca Km. 8,Sin distrito,ANCASH,-9.587245,-77.521549
Repsol,Sin dirección,Sin distrito,ANCASH,-9.547016,-77.535184
Primax,Sin dirección,Sin distrito,ANCASH,-9.539277,-77.531657
Grifo La Luz,Sin dirección,Sin distrito,ANCASH,-9.040919,-77.818322
Minera,Sin dirección,Sin distrito,ANCASH,-9.017678,-77.819804
Grifo Petroperú - Visa,Sin dirección,Sin distrito,ANCASH,-9.894564,-76.945717
Repsol,Sin dirección,Sin distrito,ANCASH,-9.526167,-77.529699
Grifo Eleuterio Meza,Panamericana Norte,Huarmey,ANCASH,-10.074411,-78.153768
Primax,Sin dirección,Sin distrito,ANCASH,-10.062165,-78.157521
Valex,Sin dirección,Sin distrito,ANCASH,-9.529827,-77.531531
Primax - Primax,Sin dirección,Sin distrito,ANCASH,-9.050679,-77.806151
Ursa,Sin dirección,Sin distrito,ANCASH,-9.525489,-77.526264
Pecsa,Sin dirección,Sin distrito,ANCASH,-10.067747,-78.146648
Estación de servicios Elisabeth,Sin dirección,Sin distrito,ANCASH,-9.518762,-77.543876
Sin nombre,Sin dirección,Sin distrito,ANCASH,-9.017473,-77.467633
Sin nombre,Sin dirección,Sin distrito,ANCASH,-9.093244,-77.332968
Estación Chavín de Huantar - Visa MC - baños,Sin dirección,Sin distrito,ANCASH,-9.589469,-77.175128
Repsol - Repsol,Carretera Longitudinal de la Sierra Norte,Sin distrito,ANCASH,-10.117933,-77.292136
Primax,Sin dirección,Sin distrito,ANCASH,-9.677552,-77.478499
Pecsa,Sin dirección,Sin distrito,ANCASH,-10.135206,-77.302162
Gasolinera artesanal,Sin dirección,Sin distrito,ANCASH,-10.149713,-77.365069
Repsol,Sin dirección,Sin distrito,ANCASH,-9.592749,-77.515676
Fastrol,Panamericana Norte,Sin distrito,ANCASH,-9.05158,-78.593335
Gasolinera rural Chacas,Sin dirección,Sin distrito,ANCASH,-9.15431,-77.367444
Gasolinera Chacas,Sin dirección,Sin distrito,ANCASH,-9.165194,-77.367707
Gasolinera Pecsa,Sin dirección,Sin distrito,ANCASH,-9.381595,-77.58829
Gasolinera Savana,Sin dirección,Sin distrito,ANCASH,-9.365966,-77.593544
Grifo JMPK,Sin dirección,Sin distrito,ANCASH,-9.471885,-77.5382
Estación de servicio Yungay,Sin dirección,Sin distrito,ANCASH,-9.138715,-77.748704
Petro Palmira,Sin dirección,Sin distrito,ANCASH,-9.1445,-77.745184
Grifo Repsol,Sin dirección,Sin distrito,ANCASH,-9.14303,-77.744667
Grifo Primax,Sin dirección,Sin distrito,ANCASH,-9.178467,-77.718539
Repsol - Repsol,Sin dirección,Sin distrito,ANCASH,-9.054661,-77.801774
Petro Palmira,Sin dirección,Sin distrito,ANCASH,-9.055284,-77.800725
Grifo Pecsa,Sin dirección,Sin distrito,ANCASH,-9.121139,-77.7636
Grifo Primax,Sin dirección,Sin distrito,ANCASH,-9.268367,-77.676799
Grifo Albinagorta,Sin dirección,Sin distrito,ANCASH,-9.301998,-77.620801
Fuel,Sin dirección,Sin distrito,ANCASH,-8.816982,-77.460784
Fuel,Sin dirección,Sin distrito,ANCASH,-8.592936,-77.653877
Fuel,Sin dirección,Sin distrito,ANCASH,-8.674175,-77.575112
Fuel,Sin dirección,Sin distrito,ANCASH,-8.673928,-77.574675
Grifo Sihuasinos,Sin dirección,Sin distrito,ANCASH,-8.556856,-77.628185
Grifo TDT,Sin dirección,Sin distrito,ANCASH,-9.898928,-76.939956
Grifo San Martín,Sin dirección,Sin distrito,ANCASH,-10.155136,-77.157483
Gasolinera rural,Sin dirección,Sin distrito,ANCASH,-9.187163,-76.961664
Gasolinera rural,Sin dirección,Sin distrito,ANCASH,-9.171083,-76.95933
Gasolinera rural,Sin dirección,Sin distrito,ANCASH,-9.170431,-76.958732
Gasolinera rural,Sin dirección,Sin distrito,ANCASH,-9.13451,-76.982779
Grifo San Pedro / baños,Sin dirección,Sin distrito,ANCASH,-9.304713,-77.017547
Gasolinera Rural,Sin dirección,Sin distrito,ANCASH,-8.816295,-77.461641
Grifo El Jordán,Sin dirección,Sin distrito,ANCASH,-8.823892,-77.45283
Grifo abandonado,Sin dirección,Sin distrito,ANCASH,-8.823977,-77.453376
Gasolinera rural,Sin dirección,Sin distrito,ANCASH,-8.619438,-77.576762
Gasolinera Rural,Sin dirección,Sin distrito,ANCASH,-8.865122,-77.361257
Grifo Wacrachuco SAC,Sin dirección,Sin distrito,ANCASH,-8.60062,-77.155319
Gasolinera rural,Sin dirección,Sin distrito,ANCASH,-8.592977,-77.65425
Gasolinera rural,Sin dirección,Sin distrito,ANCASH,-8.577579,-77.626135
Grifo Primax,Sin dirección,Sin distrito,ANCASH,-9.543431,-77.165984
Grifo Shanguito - Lavado de autos con rampa,Sin dirección,Sin distrito,ANCASH,-9.51865,-77.155717
Grifo Repsol,Sin dirección,Sin distrito,ANCASH,-9.3924,-77.143507
Grifo Ramos,Sin dirección,Sin distrito,ANCASH,-9.339659,-77.169214
Grifo rural,Sin dirección,Sin distrito,ANCASH,-9.335835,-77.171863
Grifo Primax,Sin dirección,Sin distrito,ANCASH,-9.585567,-77.177664
Grifo Las Mellizas,Sin dirección,Sin distrito,ANCASH,-9.562845,-77.893493
Grifo Shasho,Sin dirección,Sin distrito,ANCASH,-9.51528,-78.024724
Grifo María Rosa,Sin dirección,Sin distrito,ANCASH,-9.516616,-78.041587
Grifo Virgen de Guadalupe,Sin dirección,Sin distrito,ANCASH,-9.444759,-78.214651
Grifo Repsol,Sin dirección,Sin distrito,ANCASH,-9.423722,-78.364473
Grifo Pecsa,Sin dirección,Sin distrito,ANCASH,-10.797646,-77.70857
Sin nombre,Sin dirección,Sin distrito,ANCASH,-9.523862,-77.528378
Grifo Repsol,Sin dirección,Sin distrito,ANCASH,-10.385337,-77.686516
Grifo Primax,Sin dirección,Sin distrito,ANCASH,-9.328113,-77.601368
Sin nombre,Sin dirección,Sin distrito,ANCASH,-8.607631,-77.146856
Sin nombre,Sin dirección,Sin distrito,ANCASH,-8.601476,-77.154515
Grifo Primax,Sin dirección,Sin distrito,ANCASH,-9.121089,-77.368377
Sin nombre,Sin dirección,Sin distrito,ANCASH,-8.608371,-77.144736
Grifo rural,Sin dirección,Sin distrito,ANCASH,-9.08522,-77.343886
Grifo rural,Sin dirección,Sin distrito,ANCASH,-9.373059,-77.110822
Grifo rural - Llantería,Sin dirección,Sin distrito,ANCASH,-9.370937,-77.109483
Grifo Arquinigo,Sin dirección,Sin distrito,ANCASH,-9.367505,-77.101994
Grifo rural,Sin dirección,Sin distrito,ANCASH,-9.10839,-77.017698
Gasolinera GT Trujillo,Prolongación Jirón Leoncio Prado,Sin distrito,ANCASH,-9.344291,-77.169476
Grifo Corpipsa,Sin dirección,Sin distrito,ANCASH,-9.49163,-77.536158
Grifo Repsol,Sin dirección,Sin distrito,ANCASH,-9.490466,-77.536273
San Juan,Sin dirección,Sin distrito,ANCASH,-8.608461,-77.144949
Grifo Yaután,Sin dirección,Sin distrito,ANCASH,-9.513939,-77.997662
Grifo Primax,Sin dirección,Sin distrito,ANCASH,-9.513543,-77.998788
Grifo La Doxa,Sin dirección,Sin distrito,ANCASH,-9.133004,-78.509641
Servicentro Lovi,Sin dirección,Sin distrito,ANCASH,-9.141517,-78.19084
Grifo San Jacinto,Sin dirección,Sin distrito,ANCASH,-9.155157,-78.284829
Grifo Primax,Sin dirección,Sin distrito,ANCASH,-9.155056,-78.287427
Gasolinera California,Sin dirección,Sin distrito,ANCASH,-9.46778,-78.299839
Repsol,Sin dirección,Sin distrito,ANCASH,-10.743437,-77.748129
Grifo La Laguna,Panamericana Norte,Sin distrito,ANCASH,-10.059305,-78.157704
Grifo Primax,Sin dirección,Sin distrito,ANCASH,-9.137554,-78.183017
Primax - Primax,Sin dirección,Sin distrito,ANCASH,-10.788922,-77.711782
Repsol,Sin dirección,Sin distrito,ANCASH,-9.14635,-78.511387
Estación Elizabeth,Sin dirección,Sin distrito,ANCASH,-9.449217,-78.220935
Grifo Pecsa,Sin dirección,Sin distrito,ANCASH,-9.516825,-78.053053
Grifo Melissa,Sin dirección,Sin distrito,ANCASH,-9.528376,-77.54547
PetroAmérica Gasolina/GLP,Sin dirección,Sin distrito,ANCASH,-9.446486,-78.350148
Grifo Rural,Sin dirección,Sin distrito,ANCASH,-9.037609,-76.955953
Grifo Rural,Sin dirección,Sin distrito,ANCASH,-9.029721,-76.957702
Grifo Rural,Sin dirección,Sin distrito,ANCASH,-9.27566,-77.000055
Grifo Mar's,Sin dirección,Sin distrito,ANCASH,-9.738501,-77.450294
Grifo Repsol,Sin dirección,Sin distrito,ANCASH,-9.453812,-78.228194
Valex,Sin dirección,Sin distrito,ANCASH,-9.521615,-77.533184
Repsol,Sin dirección,Sin distrito,ANCASH,-9.144065,-78.50642
Gasolinera,Sin dirección,Sin distrito,ANCASH,-9.074992,-78.57605
Milagros,Sin dirección,Sin distrito,ANCASH,-9.187652,-77.714863
Petroperú,Panamericana Norte,Sin distrito,ANCASH,-8.991043,-78.617971
PGYG,Panamericana Norte,Sin distrito,ANCASH,-8.979137,-78.617333
Sin nombre,Avenida José Pardo,Sin distrito,ANCASH,-9.095951,-78.563509
Grecosem,Sin dirección,Sin distrito,ANCASH,-9.050903,-77.810776
Sin nombre,Sin dirección,Sin distrito,ANCASH,-9.462639,-78.373806
Sin nombre,Sin dirección,Sin distrito,ANCASH,-9.457924,-78.294801
Sin nombre,Sin dirección,Sin distrito,ANCASH,-9.112349,-78.516697
Repsol - Repsol,Sin dirección,Sin distrito,ANCASH,-10.78013,-77.718343
Grifo San Ignacio,Sin dirección,Sin distrito,ANCASH,-10.689499,-77.785541
Primax,Sin dirección,Sin distrito,ANCASH,-9.453475,-78.340772
PetroPeru,Sin dirección,Sin distrito,ANCASH,-10.794525,-77.724945
Grifo,Sin dirección,Sin distrito,ANCASH,-10.795516,-77.719362
Terpel,Sin dirección,Sin distrito,ANCASH,-10.793524,-77.72931
Repsol - Repsol,Sin dirección,Sin distrito,ANCASH,-9.051555,-77.810277
Grifo San Santiago,Sin dirección,Sin distrito,ANCASH,-9.014733,-77.819797
Dulcemar,Sin dirección,Sin distrito,ANCASH,-9.011465,-78.618729
Petroperú,Sin dirección,Sin distrito,ANCASH,-9.114449,-78.546671
Estacion de servicios Nuevo Moro,Sin dirección,Sin distrito,ANCASH,-9.132264,-78.164229
Pecsa,Jirón Rmon Castilla,Sin distrito,ANCASH,-10.74535,-77.765926
Repsol,Avenida Pacífico,Nuevo Chimbote,ANCASH,-9.120795,-78.534704
Repsol,Antigua Panamericana Norte,Sin distrito,ANCASH,-10.741965,-77.76805
GLP,Avenida Anchoveta,Nuevo Chimbote,ANCASH,-9.12751,-78.523466
Pecsa,Avenida José Pardo,Sin distrito,ANCASH,-9.09487,-78.563489
GLP,Panamericana Norte,Nuevo Chimbote,ANCASH,-9.147425,-78.509858
PetroPerú - Petroperu,Panamericana Norte,Casma,ANCASH,-9.457801,-78.334296
LK,Panamericana Norte,Casma,ANCASH,-9.464605,-78.321144
Estación Elizabeth,Panamericana Norte,Casma,ANCASH,-9.476885,-78.294565
Primax,Antigua Panamericana Norte,Sin distrito,ANCASH,-10.742815,-77.767116
PetroPerú,Antigua Panamericana Norte,Sin distrito,ANCASH,-10.736129,-77.772602
Petrocasma,Panamericana Norte,Casma,ANCASH,-9.478664,-78.293536
Pecsa,Antigua Panamericana Norte,Sin distrito,ANCASH,-10.689809,-77.784762
Sin nombre,Sin dirección,Sin distrito,ANCASH,-9.120723,-78.540233
Pecsa,Avenida José Pardo,Sin distrito,ANCASH,-9.078002,-78.582598
Pecsa,Avenida José Pardo,Sin distrito,ANCASH,-9.078,-78.582913
BELNorte,Panamericana Norte,Sin distrito,ANCASH,-9.048721,-78.594646
Repsol,Panamericana Norte,Sin distrito,ANCASH,-9.048316,-78.59488
Dimexsa,Panamericana Norte,Sin distrito,ANCASH,-9.049531,-78.594181
Repsol - Estación de Servicios Rentik,Avenida Enrique Meiggs,Sin distrito,ANCASH,-9.078754,-78.588494
JEL,Avenida Enrique Meiggs,Sin distrito,ANCASH,-9.080815,-78.581013
Energías,Avenida Enrique Meiggs,Sin distrito,ANCASH,-9.085609,-78.577044
Grifo Petroperú,Sin dirección,Sin distrito,ANCASH,-9.133614,-78.524911
GasPetrol,Avenida Enrique Meiggs,Sin distrito,ANCASH,-9.083922,-78.577505
Primax,Avenida Enrique Meiggs,Sin distrito,ANCASH,-9.084728,-78.577464
Sin nombre,Avenida Jose Pardo,Sin distrito,ANCASH,-9.084472,-78.574898
Sin nombre,Sin dirección,Sin distrito,ANCASH,-9.42101,-78.365991
Sin nombre,Sin dirección,Sin distrito,ANCASH,-9.051545,-77.810273
Sin nombre,Sin dirección,Sin distrito,ANCASH,-9.05071,-77.806144
Ava,Jirón Rmon Castilla,Sin distrito,ANCASH,-10.744549,-77.765637
Gaspetrol,Sin dirección,Sin distrito,ANCASH,-9.118982,-78.535822
Pecsa,Victor Raúl Haya de la Torre,Sin distrito,ANCASH,-9.113981,-78.543814
Sin nombre,Victor Raúl Haya de la Torre,Sin distrito,ANCASH,-9.113094,-78.544895
Sin nombre,Sin dirección,Sin distrito,ANCASH,-9.096359,-78.563223
Grefaan,Sin dirección,Sin distrito,ANCASH,-9.094444,-78.565197
Primax,La Sagrada Familia,Nuevo Chimbote,ANCASH,-9.129422,-78.51734
Primax,Avenida Pacífico,Nuevo Chimbote,ANCASH,-9.128685,-78.518306
Repsol,Panamericana Norte,Casma,ANCASH,-9.474187,-78.297167
Petroperu,Panamericana Norte,Sin distrito,ANCASH,-9.002937,-78.618553
Repsol - Repsol,Avenida Gran Chimu 1999,Sin distrito,LIMA,-12.024955,-76.981882
Pecsa,Zona San Martín de Porres,San Martín de Porres,LIMA,-12.030909,-77.04219
Independent - Terpel (GNV),Sin dirección,Sin distrito,LIMA,-12.042169,-77.077268
Repsol - Repsol,Sin dirección,Sin distrito,LIMA,-12.02985,-76.999074
Repsol - Repsol,Sin dirección,Sin distrito,LIMA,-12.042867,-77.077348
Repsol - Antiguo Repsol,Sin dirección,Sin distrito,LIMA,-12.044979,-77.061594
Repsol - Repsol,Sin dirección,Sin distrito,LIMA,-12.055584,-77.052724
Repsol - Repsol,Jose Orengo,San Luis,LIMA,-12.071113,-77.002038
Repsol - Repsol,Sin dirección,Sin distrito,LIMA,-12.075461,-76.955156
Repsol - Repsol,Sin dirección,Sin distrito,LIMA,-12.082412,-77.027715
Autoservicios La Perla,Avenida Venezuela,La Perla,LIMA,-12.06447,-77.112339
Establecimientos Anexos a la Empresa Repsol YPF,Sin dirección,Sin distrito,LIMA,-12.064287,-77.14482
Estacion de Servicio La Perla - PRIMAX,Sin dirección,Sin distrito,LIMA,-12.075848,-77.114732
Primax - Primax,Calle 10,Carmen de La Legua-Reynoso,LIMA,-12.030828,-77.095204
Pecsa - Pecsa,Sin dirección,Sin distrito,LIMA,-12.762883,-76.599358
Sin nombre,Sin dirección,Sin distrito,LIMA,-12.768061,-76.59348
Aba singer,Sin dirección,Sin distrito,LIMA,-12.020584,-77.000207
Grifo Mi Perú,Sin dirección,Sin distrito,LIMA,-12.033062,-77.060124
Repsol - Repsol,Sin dirección,Sin distrito,LIMA,-12.006008,-77.06115
PetroPerú - PetroPerú,Sin dirección,Sin distrito,LIMA,-13.02586,-76.473843
Grifo Aucallama,Sin dirección,Sin distrito,LIMA,-11.612624,-77.232533
PetroPerú,Sin dirección,Sin distrito,LIMA,-10.869495,-76.111769
Corasma,Sin dirección,Sin distrito,LIMA,-10.810239,-76.220233
Primax,Sin dirección,Sin distrito,LIMA,-10.887638,-76.087529
Petroperu,Sin dirección,Sin distrito,LIMA,-11.148048,-75.990274
Primax,Sin dirección,Sin distrito,LIMA,-10.924916,-76.05903
Petroperu “Las Angeles”,Sin dirección,Sin distrito,LIMA,-10.928074,-76.056944
Petroperu,Sin dirección,Sin distrito,LIMA,-11.15768,-75.989035
Sin nombre,Sin dirección,Sin distrito,LIMA,-11.164036,-75.988726
Repsol - Grifo Repsol,Sin dirección,Sin distrito,LIMA,-12.019613,-76.952976
PetroPerú - Grifo Petroperú,Puruchuco,Sin distrito,LIMA,-12.014316,-76.982772
Repsol - Grifo Repsol,Avenida Gran Chimu 1412,Sin distrito,LIMA,-12.024264,-76.988386
Primax,Sin dirección,Sin distrito,LIMA,-12.196752,-76.921844
Pecsa - Pecsa (GNV),Carretera Panamericana Norte,Puente Piedra,LIMA,-11.879303,-77.068341
Sin nombre,Sin dirección,Sin distrito,LIMA,-12.084529,-76.878178
Repsol,Sin dirección,Sin distrito,LIMA,-12.083869,-76.927721
Repsol - Repsol,Avenida República de Venezuela,San Miguel,LIMA,-12.061791,-77.087549
PECSA,Sin dirección,Sin distrito,LIMA,-11.947136,-77.071544
Abril,Sin dirección,Sin distrito,LIMA,-11.898678,-77.067358
Petro Peru / Energigas,Carretera Panamericana Norte KM 29.5,Lima,LIMA,-11.871946,-77.070232
Grifo Torre,Sin dirección,Sin distrito,LIMA,-11.85676,-77.083961
