No;EXPEDIENTE;CODIGO OSINERGMIN;REGISTRO;RUC;RAZON SOCIAL;DIRECCION OPERATIVA;DEPARTAMENTO;PROVINCIA;DISTRITO;TIPO DE ESTABLECIMIENTO;TANQUE 1;TANQUE 2;TANQUE 3;TANQUE 4;TANQUE 5;TANQUE 6;TANQUE 7;TANQUE 8;TANQUE 9;TANQUE 10;CAP.TOTAL CL (gln);FEC. EMISION;TÉRMINO DE VIGENCIA;REPRESENTANTE;GLP EN CILINDROS (kg)
577;202000119558;18510;18510-050-110920;20406495575;SERVICENTRO FORNIA SOCIEDAD COMERCIAL DE RESPONSAB. LTDA.;AV. PROLONGACION LIBERTAD S/N BARRIO SANTIAGO LUJAN;PUNO;SAN ANTONIO DE PUTINA;PUTINA;PUESTO DE VENTA DE COMBUSTIBLE - GRIFOS;C1:4300:GASOHOL 90 PLUS ;C1:4300:Diesel B5 S-50 ;;;;;;;;;8600;11/09/2020;INDEFINIDO;HENRY JESUS MAMANI CORDOVA ;0
578;202300057964;125951;125951-050-190423;10023823361;WALTER ROQUE ZUÑIGA;JR. PALMERAS S/N, MZ 'Q' LT. 15 BARRIO MIRAFLORES;PUNO;SANDIA;ALTO INAMBARI;PUESTO DE VENTA DE COMBUSTIBLE - GRIFOS;C1:4610:Diesel B5 S-50 ;C1:2247:GASOHOL 84 PLUS ;;;;;;;;;6857;19/04/2023;24/09/2023;WALTER ROQUE ZUÑIGA ;0
579;202100277316;9271;9271-050-090122;20449314868;ESTACION DE SERVICIOS TEXA'S SOCIEDAD ANONIMA CERRADA;AV. JORGE BASADRE ESQ. CON PROLONG. DOS DE MAYO 692-695;TACNA;TACNA;TACNA;PUESTO DE VENTA DE COMBUSTIBLE - GRIFOS;C1:3900:GASOHOL 98 PLUS ;C1:6500:Diesel B5 S-50 ;C1:6500:GASOHOL 90 PLUS ;C1:3900:GASOHOL 95 PLUS ;;;;;;;20800;9/01/2022;INDEFINIDO;MARGARITA GONZALO MAMANI;0
580;202300030574;39380;39380-050-030323;20608397621;GRIFOS RANGER & SERVICIOS SOCIEDAD COMERCIAL DE RESPONSABILIDAD LIMITADA;AV. PAKAMUROS CUADRA 2;CAJAMARCA;JAEN;JAEN;PUESTO DE VENTA DE COMBUSTIBLE - GRIFOS;C1:2800:GASOHOL 84 PLUS ;C1:2800:GASOHOL 90 PLUS ;C1:2500:SIN PRODUCTO ;C1:0:DIESEL B5,Diesel B5 S-50 ;;;;;;;10800;3/03/2023;INDEFINIDO;GEILER FERNANDO ROSILLO GONZALES;0
581;201600078968;45492;45492-050-240417;10103660829;JUANA PONCE ZEGARRA ;AV. TANTAMAYO (EX. AV. CHUQUITANTA) Y AV. PACASMAYO (EX. AV. ALEJANDRO BERTELLO), MZ. B LT. 1 Y 2. URB. SAN JUAN BAUTISTA ;LIMA;LIMA;SAN MARTIN DE PORRES;ESTACIONES DE SERVICIOS;C1:5842:Diesel B5 S-50 ;C1:825:GASOHOL 95 PLUS C2:825:GASOHOL 90 PLUS ;;;;;;;;;7492;27/05/2016;INDEFINIDO;JUANA PONCE ZEGARRA;480
582;201300138226;103481;103481-050-120913;10048257441;JUSTO QUISPE QUISPE;CARRETERA PUNKIRI – HUEPETUHE, FUNDO VISTA ALEGRE KM. 15+000;MADRE DE DIOS;MANU;HUEPETUHE;PUESTO DE VENTA DE COMBUSTIBLE - GRIFOS;C1:10400:Diesel B5 S-50 ;C1:10400:Diesel B5 S-50 ;;;;;;;;;20800;12/09/2013;INDEFINIDO;JUSTO QUISPE QUISPE;0
583;202200052784;17953;17953-050-280622;20503840121;REPSOL COMERCIAL S.A.C. ;AV. ROOSEVELT N° 5672 ESQ. AV. MONSEÑOR ROCA Y BOLOÑA N° 385;LIMA;LIMA;MIRAFLORES;ESTACIONES DE SERVICIOS;C1:4000:Diesel B5 S-50 C2:4000:Diesel B5 S-50 ;C1:4000:GASOHOL 95 PLUS C2:4000:GASOHOL 98 PLUS ;C1:8000:GASOHOL 90 PLUS ;;;;;;;;24000;28/06/2022;INDEFINIDO;JOSE WALTER NOÉ CHINININ;0
584;202200255267;166196;166196-050-030223;20608876775;PETRONEGOCIOS Y SERVICIOS GENERALES JANAMPASS S.A.C.;PROLONGACION AV. SIVIA S/N BARRIO HOSPITAL-CENTRO POBLADO TRIBOLINE;AYACUCHO;HUANTA;SIVIA;ESTACIONES DE SERVICIOS;C1:8000:Diesel B5 S-50 ;C1:6000:GASOHOL 90 PLUS C2:2000:GASOHOL 84 PLUS ;;;;;;;;;16000;3/02/2023;3/02/2024;JANAMPA CHUCHON ROMULO ISAIAS;0
585;201800149296;7039;7039-050-110918;20503840121;REPSOL COMERCIAL S.A.C.;AV. ANGAMOS OESTE N° 1685;LIMA;LIMA;MIRAFLORES;ESTACIONES DE SERVICIOS;C1:6000:GASOHOL 95 PLUS ;C1:4000:GASOHOL 90 PLUS ;C1:4000:GASOHOL 98 PLUS ;C1:6000:Diesel B5 S-50 ;;;;;;;20000;11/09/2018;INDEFINIDO;VICTOR GONZALO CASTILLO OVIEDO;0
586;202200154168;137646;137646-050-190822;20603280394;FULL TANK SAN MARTIN S.A.C.;CARRETERA PICHARI-PUERTO CUCOS, FUNDO BELÉN, PARCELA TO-40, LUGAR OTARI SAN MARTÍN;CUSCO;LA CONVENCION;PICHARI;ESTACIONES DE SERVICIOS;C1:3950:Diesel B5 S-50 ;C1:3950:Diesel B5 S-50 ;C1:3950:GASOHOL 90 PLUS ;C1:3950:GASOHOL 95 PLUS ;C1:3950:GASOHOL 90 PLUS ;;;;;;19750;19/08/2022;19/08/2023;MARGARITA ANGELICA MOSCO ANDIA;0
