No,EXPEDIENTE,CODIGO OSINERGMIN,REGISTRO,RUC,RAZON SOCIAL,DIRECCION OPERATIVA,DEPARTAMENTO,PROVINCIA,DISTRITO,TIPO DE ESTABLECIMIENTO,TANQUE 1,TANQUE 2,TANQUE 3,TANQUE 4,TANQUE 5,TANQUE 6,TANQUE 7,TANQUE 8,TANQUE 9,TANQUE 10,CAP.TOTAL CL (gln),FEC. EMISION,TÉRMINO DE VIGENCIA,REPRESENTANTE,GLP EN CILINDROS (kg),lat,lng
1396,202300055918,132962,132962-050-050523,20570671015,MULTISERVICIOS INTEGRACIÓN E.I.R.L.,CENTRO POBLADO NAMBALLE MZA 3 LOTE 6 ,CAJAMARCA,SAN IGNACIO,NAMBALLE,GRIFO VIA PUBLICA,C1:8000:Diesel B5 S-50 ,"C1:0:GASOHOL 84 PLUS,GASOHOL REGULAR ","C1:0:GASOHOL 90 PLUS,GASOHOL PREMIUM ",,,,,,,,16000.0,5/05/2023,INDEFINIDO,LENING BLADIMIR FLORES ADRIANZEN,0,-5.0039977,-79.0878065
1397,202000116665,18584,18584-050-040920,20230767131,PROVEEDORA DEL SUR E.I.R.L.,AV. MADRE DE DIOS CUADRA 8 ESQUINA JR. JUNIN,MADRE DE DIOS,TAMBOPATA,TAMBOPATA,ESTACIONES DE SERVICIOS,C1:5500:Diesel B5 S-50 ,C1:7000:Diesel B5 S-50 ,C1:6800:GASOLINA 84 ,C1:3400:GASOLINA 90 ,,,,,,,22700.0,4/09/2020,INDEFINIDO,JULIO ALI FIGUEROA GONZALES,720,-12.5958773,-69.191024
1398,202100055873,124274,124274-050-200421,10435842050,FELIX ALEX LONCONI MOSCOSO,PREDIO RUSTICO DENOMINADO MISCAHUARA VIA SANTUTIS - CORAO,CUSCO,CUSCO,SAN SEBASTIAN,ESTACIONES DE SERVICIOS,C1:5300:Diesel B5 S-50 ,C1:2700:GASOHOL 95 PLUS C2:2600:GASOHOL 90 PLUS ,,,,,,,,,10600.0,20/04/2021,INDEFINIDO,FELIX ALEX LONCONI MOSCOSO,0,-13.5297698,-71.9147541
1399,201600024801,64247,64247-050-050316,20199534085,EMPRESA DE TRANSPORTES SAGRADO CORAZON DE JESUS S.A.,CAMINO CARROZABLE N° 100 DE LA UPIS JUAN VELASCO ALVARADO C.P HOJA REDONDA,ICA,CHINCHA,EL CARMEN,ESTACIONES DE SERVICIOS,C1:3295:DIESEL B5 C2:898:GASOHOL 90 PLUS ,,,,,,,,,,4193.0,5/03/2016,INDEFINIDO,JAVIER HUAYTA HUAMANI,0,-13.5486184,-76.1147739
1400,202100055879,145782,145782-050-140421,20601584001,GRUPO EMPRESARIAL MDM E.I.R.L.,"ASENTAMIENTO HUMANO MORRO DE SAMA, MZA. 1, LOTE 1, CALLE 10",TACNA,TACNA,SAMA,ESTACIONES DE SERVICIOS,C1:5260:Diesel B5 S-50 ,C1:5260:GASOHOL 90 PLUS ,C1:5260:GASOHOL 95 PLUS ,C1:5260:Diesel B5 S-50 ,,,,,,,21040.0,14/04/2021,INDEFINIDO,JUAN ANDRES DAVILA BUSTAMANTE,0,-18.0178243,-70.2369883
1401,202200219908,165609,165609-050-051222,10339473647,ARSENIO ZELADA PORTOCARRERO,"JR. SANTO TORIBIO S/N MANZANA 9, LOTE 03.",AMAZONAS,RODRIGUEZ DE MENDOZA,LIMABAMBA,ESTACIONES DE SERVICIOS,C1:3000:Diesel B5 S-50 ,C1:2500:GASOLINA 90 ,C1:2000:GASOLINA 95 ,C1:1500:GASOLINA 97 ,,,,,,,9000.0,5/12/2022,INDEFINIDO,ARSENIO ZELADA PORTOCARRERO,480,-6.4978964,-77.4988097
1402,202000098617,84658,84658-050-050820,20564296890,GRIFO AMERICANAS E.I.R.L.,PROLONGACIÓN AV. TUPAC AMARU S/N,CUSCO,CANAS,YANAOCA,PUESTO DE VENTA DE COMBUSTIBLE - GRIFOS,C1:2400:Diesel B5 S-50 C2:1400:GASOHOL 90 PLUS ,C1:1147:GASOHOL 90 PLUS ,,,,,,,,,4947.0,5/08/2020,INDEFINIDO,BRAULIO TUNQUE JIMENEZ,0,-14.2171388,-71.4314206
1403,201900204052,37010,37010-050-081219,20127765279,COESTI S.A.,CARRETERA AREQUIPA YURA KM. 11 ASOCIACION CENTRO INDUSTRIAL LAS CANTERAS MZ. A LOTE 1,AREQUIPA,AREQUIPA,CERRO COLORADO,ESTACIONES DE SERVICIOS,C1:7242:Diesel B5 S-50 ,C1:5242:GASOHOL 90 PLUS ,C1:3962:GASOHOL 84 PLUS ,C1:3682:GASOHOL 95 PLUS ,,,,,,,20128.0,8/12/2019,INDEFINIDO,ABRAHAM HUGO CALDERON MAVILA,240,-16.4025455,-71.5318831
1404,201600132685,86899,86899-050-150916,10271551202,LUZ ALEJANDRINA DIAZ CORDOVA,AV. SANCHEZ CARRION S/N CARRETERA PACASMAYO - CAJAMARCA KM 91.5,CAJAMARCA,CONTUMAZA,CONTUMAZA,PUESTO DE VENTA DE COMBUSTIBLE - GRIFOS,C2:2000:GASOHOL 90 PLUS ,"C1:4200:DIESEL B5,Diesel B5 S-50 ",C1:2000:GASOHOL 95 PLUS ,,,,,,,,8200.0,15/09/2016,INDEFINIDO,LUZ ALEJANDRINA DIAZ CORDOVA,0,-7.3649583,-78.8021156
1405,202000143566,18600,18600-050-151020,20600082591,ESTACION DE COMBUSTIBLE SMART S.A.C. ,AV. MARISCAL CASTILLA N° 1201,AREQUIPA,AREQUIPA,MARIANO MELGAR,PUESTO DE VENTA DE COMBUSTIBLE - GRIFOS,C1:3800:Diesel B5 S-50 ,C1:3800:GASOHOL 90 PLUS ,C1:3800:GASOHOL 90 PLUS ,C1:1500:GASOHOL 95 PLUS ,,,,,,,12900.0,15/10/2020,INDEFINIDO,HENRY GUSTAVO GUERRA YUCRA,0,-16.4066958,-71.5104606
1406,202100025102,8981,8981-050-240221,10164768321,ELMO MANUEL MARTINEZ ZEGOVIA,AV. JOSE CARLOS MARIATEGUI N° 334,LA LIBERTAD,PACASMAYO,PACASMAYO,PUESTO DE VENTA DE COMBUSTIBLE - GRIFOS,C1:3550:GASOHOL 90 PLUS ,C1:5000:DIESEL B5 ,C1:4000:GASOHOL 84 PLUS ,,,,,,,,12550.0,24/02/2021,INDEFINIDO,ELMO MANUEL MARTINEZ ZEGOVIA,0,-7.405408400000001,-79.5609176
1407,201900168829,116059,116059-050-181019,20455807418,MAFECAM E.I.R.L.,"ASENTAMIENTO HUMANO CARAQUEN, MZ. B, LT. 01",AREQUIPA,ISLAY,COCACHACRA,PUESTO DE VENTA DE COMBUSTIBLE - GRIFOS,C1:997:GASOHOL 90 PLUS ,C1:3000:Diesel B5 S-50 ,,,,,,,,,3997.0,18/10/2019,INDEFINIDO,ERNESTO ALONSO RIVERA RIVERA,0,-17.0935612,-71.7724422
1408,202300049564,145686,145686-050-070323,10456602784,ANCO CUTIPA RICHARD,"CENTRO POBLADO MENOR MUELLE, PARCIALIDAD COASIA, CARRETERA VILQUECHICO - HUANCANE",PUNO,HUANCANE,VILQUE CHICO,PUESTO DE VENTA DE COMBUSTIBLE - GRIFOS,C1:2641:GASOHOL REGULAR ,C1:2641:Diesel B5 S-50 ,,,,,,,,,5282.0,7/03/2023,INDEFINIDO,APAZA QUISPE VICTOR,0,-15.2277695,-69.6936731
1409,202100104207,14482,14482-050-200521,20607404641,MULTISERVICIOS INKA WORLD S.A.C.,"SECTOR URMAYMOCCO, COMUNIDAD CACHONA S/N CARRETERA CUSCO - PARURO",CUSCO,CUSCO,SANTIAGO,PUESTO DE VENTA DE COMBUSTIBLE - GRIFOS,C1:3950:Diesel B5 S-50 ,C1:2650:GASOHOL 90 PLUS ,C1:1000:GASOHOL 90 PLUS ,,,,,,,,7600.0,20/05/2021,INDEFINIDO,ARCE TERRAZAS LUCIA KARINA,0,-13.579249,-71.9875531
1410,202100233812,45265,45265-050-291021,20447876362,GRIFO F & V EMPRESA INDIVIDUAL DE RESPONSABILIDAD LIMITADA,AV. HEROES DE LA GUERRA DEL PACIFICO S/N KM. 3.5,PUNO,SAN ROMAN,JULIACA,PUESTO DE VENTA DE COMBUSTIBLE - GRIFOS,C1:6500:Diesel B5 S-50 ,C1:6500:GASOHOL 90 PLUS ,C1:4000:Diesel B5 S-50 ,,,,,,,,17000.0,29/10/2021,INDEFINIDO,ALARCON MAMANI VICKI LELIA,0,-15.5003172,-70.1521693
1411,202000092350,150216,150216-050-240820,20533824103,ESTACION DE SERVICIOS SIERRA NEVADA E.I.R.L.,"CENTRO POBLADO CARAZ JR. SAN MARTIN N° 1775 CARRETERA CENTRAL N° 504, MZ. D6 LOTE I",ANCASH,HUAYLAS,CARAZ,ESTACIONES DE SERVICIOS,C1:10000:Diesel B5 S-50 ,C1:5000:GASOHOL 90 PLUS C2:2500:GASOHOL 95 PLUS C3:2500:GASOHOL 98 PLUS ,C1:10000:Diesel B5 S-50 ,,,,,,,,30000.0,24/08/2020,INDEFINIDO,INES MONICA SOTELO ROMERO,0,-9.048495299999999,-77.8109958
1412,202000178311,98766,98766-050-041220,20606536977,COMBUSTIBLES MOLINA B ENERGY E.I.R.L.,"CENTRO POBLADO SHIRAN, SECTOR LA TRANCA KM. 36",LA LIBERTAD,TRUJILLO,POROTO,ESTACIONES DE SERVICIOS,C1:5000:Diesel B5 S-50 ,C1:5000:Diesel B5 S-50 ,C1:2500:GASOHOL 95 PLUS ,C1:2500:GASOHOL 90 PLUS ,,,,,,,15000.0,2/12/2020,INDEFINIDO,KARLA PAOLA BUSTAMANTE ALVITES,720,-8.0073052,-78.7582474
